Species_Name
Northern Shoveler

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
CAHF,Hayward-Fremont,37.6068,-122.0667,18311,83.4214,,
LASA,Sabine N.W.R.,29.8545,-93.3892,9746,34.4017,,
CALS,Los Baños,37.0612,-120.8849,7163,157.4286,,
CASS,Salton Sea (south),33.1579,-115.6132,6077,135.0444,,
TXST,San Antonio,29.3148,-98.6080,5185,26.8653,,
CAPA,Palo Alto,37.4064,-122.1559,4402,14.5281,,
CALN,Lancaster,34.7043,-118.0860,4330,86.0835,,
CABE,Benicia,38.1143,-122.1094,4150,30.7864,,
CASM,Sacramento,38.6000,-121.5500,3407,16.4749,,
ARPB,Pine Bluff,34.2295,-92.0033,3101,36.4824,,
CAST,Stockton,38.1160,-121.3954,2641,21.6475,,
CASJ,San Jose,37.4033,-121.8821,2133,7.6233,,
MSWC,Washington County (south),33.0970,-90.9857,2121,37.2105,,
ALWH,Wheeler N.W.R.,34.6001,-86.8837,2076,25.1636,,
LACR,Creole,29.8159,-93.1113,1817,23.9079,,
CAOV,Oceanside-Vista-Carlsbad,33.1903,-117.2796,1663,15.9139,,
ALGU,Guntersville,34.3883,-86.2803,1420,24.4828,,
NCBP,Bodie-Pea Island,35.7824,-75.5458,1350,13.7755,,
TXFR,Freeport,29.0172,-95.3551,1291,3.5034,,
CACC,Contra Costa County,37.9538,-121.9923,1279,7.6817,,
CASL,San Jacinto Lake,33.8745,-117.1239,1277,13.5851,,
TXAU,Austin,30.1834,-97.6980,1075,6.4179,,
CA1B,China Lake,35.6167,-117.6667,1050,20.5479,,
LA0T,Crowley,30.2000,-92.6000,1038,12.1688,,
CAOC,Orange County (coastal),33.6725,-117.9453,981,4.7141,,
TXHO,Houston,29.7497,-94.9492,949,1.8391,,
TXSA,Santa Ana N.W.R.,26.1492,-98.1917,852,13.0475,,
CARS,Rancho Santa Fe,33.0003,-117.1628,834,8.6875,,
CODV,Denver (urban),39.7347,-104.8753,796,6.0303,,
LAJB,Johnsons Bayou,29.8010,-93.7149,756,7.8914,,
AZRC,Ramsey Canyon,31.4599,-110.2068,752,5.6119,,
TX0M,Lubbock County,33.5500,-101.7500,715,17.2289,,
VACI,Chincoteague N.W.R.,37.9672,-75.3669,709,5.9680,,
CACW,Caswell-Westley,37.6061,-121.1740,708,11.8000,,
TXCC,Corpus Christi,27.8334,-97.5833,684,6.1622,,
TXLS,La Sal Vieja,26.4849,-97.9649,671,12.0901,,
FLTA,Tampa,28.0107,-82.4595,615,5.9249,,
CATL,Tule Lake,41.9465,-121.5390,582,21.5556,,
TXBP,Bolivar Peninsula,29.5504,-94.4668,579,8.6418,,
CASD,San Diego,32.6473,-117.1170,565,3.9929,,
ORSI,Sauvie Island,45.7562,-122.8008,553,6.1105,,
CACB,Centerville Beach to King Salmon,40.6420,-124.2428,526,3.1403,,
CASH,Salton Sea (north),33.5179,-116.1031,472,7.3750,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,471,4.1867,,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,454,4.0975,,
WASE,Seattle,47.6017,-122.3341,429,3.2500,,
MSAL,Arkabutla Lake,34.7624,-90.1306,382,9.5500,,
LANO,New Orleans,30.0236,-89.9167,365,3.1712,,
TX13,Laguna Atascosa N.W.R.,26.2333,-97.3500,357,4.9583,,
TXHA,Hagerman N.W.R.,33.7807,-96.7444,356,7.1774,,
CAMC,Marin County (southern),37.9214,-122.5643,355,0.9889,,
NMRO,Roswell,33.3970,-104.3983,349,4.3086,,
ORDA,Dallas,44.8965,-123.3384,317,3.2680,,
ORCO,Corvallis,44.5071,-123.2695,305,2.5417,,
MSHA,Hattiesburg,31.3073,-89.3166,300,4.8780,,
BCWR,White Rock,49.0674,-122.7167,297,1.2747,,
TXKI,Kingsville,27.4658,-97.8551,294,5.1130,,
TXCY,Cypress Creek,29.9561,-95.8900,290,3.1016,,
CACL,Clear Lake,38.9392,-122.7199,284,4.3692,,
BCDU,Duncan,48.7882,-123.6714,280,3.3097,,
LACA,Catahoula N.W.R.,31.5080,-92.0589,259,5.2008,,
NCMA,Mattamuskeet N.W.R.,35.4500,-76.1333,251,3.0798,,
CASR,Santa Rosa,38.4379,-122.7116,248,2.0496,,
TXGA,Galveston,29.3333,-94.8333,245,2.2833,,
WASD,Sequim-Dungeness,48.1000,-123.0667,227,1.9825,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,222,3.0204,,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,210,5.7534,,
OREU,Eugene,44.0768,-123.1790,204,1.0748,,
CAOA,Oakland,37.8146,-122.2330,194,0.6934,,
TXOR,Old River,29.8776,-94.7263,194,4.0842,,
NVTM,Truckee Meadows,39.4679,-119.8205,187,0.5997,,
CALH,Lake Henshaw,33.2112,-116.7255,184,1.4534,,
TXMI,Midland,31.9500,-102.0333,182,2.8000,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,174,1.0774,,
CAAR,Arcata,40.8653,-124.1565,173,0.9774,,
CASG,Santa Maria-Guadalupe,34.8833,-120.5833,171,2.0702,,
VAFB,Fort Belvoir,38.7090,-77.1939,171,0.5979,,
WAKA,Kent-Auburn,47.3598,-122.1787,169,1.7333,,
ALMT,Mobile-Tensaw Delta,30.7500,-87.9500,168,3.9070,,
CAMR,Morro Bay,35.3000,-120.7767,167,0.8434,,
CORA,Rawhide Energy Station,40.8628,-105.1431,165,2.9204,,
ORSA,Salem,44.9437,-123.0388,164,0.9111,,
LATR,Tensas River N.W.R.,32.2833,-91.3667,156,1.8909,,
MOMI,Mingo N.W.R.,36.9833,-90.2000,154,2.7451,,
CALB,Long Beach-el Dorado,33.8533,-118.0908,149,1.5313,,
WAGH,Grays Harbor,46.9667,-124.0500,144,0.9412,,
FLCO,Cocoa,28.3622,-80.7026,143,1.0752,,
CALU,La Purisima,34.6616,-120.5368,141,2.2632,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,137,1.6023,,
ORPD,Portland,45.5167,-122.7000,135,0.9818,,
WABG,Bellingham,48.8112,-122.5629,133,0.7644,,
NMFA,Farmington,36.7833,-108.1020,128,5.1200,,
HINK,Hawai'i: North Kona,19.7428,-155.9317,128,5.7399,,
ORCE,Columbia Estuary,46.2192,-123.9461,127,3.8485,,
CAES,Escondido,33.1025,-116.9403,127,0.9270,,
BCLA,Ladner,49.0538,-123.0573,126,0.7910,,
WATA,Tacoma,47.2335,-122.5167,124,1.0394,,
NMLV,Las Vegas,35.5950,-105.2152,120,6.0000,,
CAMS,Mount Shasta,41.5342,-122.4141,119,1.9833,,
NJHR,Hackensack-Ridgewood,40.9351,-74.0292,117,1.3146,,
TXNA,Nacogdoches,31.5332,-94.6563,116,1.0995,,
CAMD,Moss Landing,36.8970,-121.7407,111,0.5388,,
NVHE,Henderson,36.0833,-114.9500,110,3.1792,,
COFC,Fort Collins,40.6454,-105.1141,110,1.3924,,
CATO,Thousand Oaks,34.1489,-118.9699,108,1.3935,,
MSJA,Jackson,32.4476,-90.0040,104,1.6640,,
MSGR,Grenada,33.8051,-89.7016,102,2.2174,,
TXBS,Big Spring,32.2391,-101.4162,99,3.8077,,
CA2L,Point Reyes Peninsula,38.1333,-122.8833,97,0.3031,,
LAPP,Pine Prairie,30.7643,-92.3765,94,1.4351,,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,92,2.7463,,
TXSN,Stanton,32.0833,-101.7000,91,4.3333,,
CASB,Santa Barbara,34.4512,-119.7627,86,0.2598,,
NMZU,Zuni,35.0333,-108.8167,86,0.9851,,
AZNO,Nogales,31.4338,-110.9358,86,1.5221,,
TXCT,Coastal Tip,26.0278,-97.2334,82,1.9249,,
BCVA,Vancouver,49.2603,-123.1050,82,0.2045,,
TXPA,Port Aransas,27.8502,-97.1000,80,1.2739,,
